dex_number	internal_id	species_name	form_name	form_type	lineage_id	evo_stage	form_key	sprite_key	evolves_from	evolves_into	evo_method_id	evo_method_text	evo_param	evo_param_item	evo_item_obtainable	type_1	type_2	hp	atk	def	spa	spd	spe	bst	ability_1	ability_2	ability_hidden	levelup_moves	tm_moves	tutor_moves	egg_moves	egg_groups	held_items	availability	earliest_gate	earliest_gate_name	earliest_level	earliest_gate_basis	is_starter	starter_reobtainable	wild_obtainable	one_time_only	missable	source_record	confidence	notes
976	1323	Veluza	NONE	base	1323	1	Veluza	1323	NONE	NONE	NONE	NONE	NONE	NONE	NA	Water	Psychic	95	102	83	78	75	70	503	Sharpness	Mold Breaker	NONE	Aqua Jet:1,Tackle:1,Pluck:7,Water Pulse:11,Focus Energy:15,Slash:20,Crunch:25,Liquidation:30,Psycho Cut:35,Aqua Cutter:40,Night Slash:45,Final Gambit:50,Fillet Away:55	2:Flip Turn,5:Toxic,7:Zen Headbutt,9:Hidden Power,12:Ice Beam,13:Blizzard,16:Protect,17:Hydro Pump,20:Icy Wind,26:Return,28:Psychic,40:Liquidation,41:Facade,43:Rest,81:Sleep Talk,87:Pluck,120:Cut,122:Surf,126:Waterfall	35:Drill Run,74:Substitute,89:Ice Fang,91:Body Slam,117:Psychic Fangs,123:Rain Dance	Recover,Thrash	Water2,Water2	NONE	Route 11:raid1:2:NA:NA|Route 12:wild-goodRod:3:27-29:2|S.S. Anne Port:wild-goodRod:3:27-29:0|Route 13:wild-superRod:9:53-55:1	2	Misty	NA	direct	FALSE	NA	TRUE	FALSE	FALSE	data.js:species[1323]	Measured	derived: bst, evo_stage, earliest_gate, earliest_level, flags
928	1324	Smoliv	NONE	base	1324	1	Smoliv	1324	NONE	Dolliv	4	at Level 23	23	NA	NA	Grass	Normal	41	35	45	58	51	30	260	Harvest	Early Bird	NONE	Tackle:1,Sweet Scent:1,Absorb:5,Growth:7,Razor Leaf:10,Helping Hand:13,Flail:16,Mega Drain:20,Grassy Terrain:23,Seed Bomb:25,Energy Ball:28,Leech Seed:34,Terrain Pulse:38	3:Seed Bomb,5:Toxic,8:Bullet Seed,9:Hidden Power,16:Protect,18:Giga Drain,21:Weather Ball,26:Return,41:Facade,43:Rest,52:Energy Ball,53:Grassy Glide,75:Earth Power,81:Sleep Talk,85:Grass Knot	74:Substitute,99:Sunny Day,101:Solar Beam,114:Trailblaze	Memento,Strength Sap,Synthesis,Weather Ball	Grass,Grass	NONE	Route 1:wild-day:0:2-4:8|Route 1:wild-day:0:2-4:9	0	Brock	2	direct	FALSE	NA	TRUE	FALSE	FALSE	data.js:species[1324]	Measured	derived: bst, evo_stage, earliest_gate, earliest_level, flags
929	1325	Dolliv	NONE	base	1324	2	Dolliv	1325	Smoliv	Arboliva	4	at Level 35	35	NA	NA	Grass	Normal	52	53	60	78	78	33	354	Harvest	Early Bird	NONE	Tackle:1,Sweet Scent:1,Absorb:5,Growth:7,Razor Leaf:10,Helping Hand:13,Flail:16,Mega Drain:20,Grassy Terrain:23,Seed Bomb:27,Energy Ball:30,Earth Power:34,Leech Seed:37,Terrain Pulse:41	3:Seed Bomb,5:Toxic,8:Bullet Seed,9:Hidden Power,15:Light Screen,16:Protect,18:Giga Drain,21:Weather Ball,26:Return,32:Reflect,41:Facade,43:Rest,52:Energy Ball,53:Grassy Glide,75:Earth Power,81:Sleep Talk,85:Grass Knot	74:Substitute,99:Sunny Day,101:Solar Beam,114:Trailblaze	Memento,Strength Sap,Synthesis,Weather Ball	Grass,Grass	NONE	NONE	0	Brock	UNK	via-evolution	FALSE	NA	FALSE	FALSE	FALSE	data.js:species[1325]	Measured	derived: bst, evo_stage, earliest_gate, earliest_level, flags
930	1326	Arboliva	NONE	base	1324	3	Arboliva	1326	Dolliv	NONE	NONE	NONE	NONE	NONE	NA	Grass	Normal	78	69	90	125	109	39	510	Harvest	Seed Sower	NONE	Mirror Coat:1,Safeguard:1,Tackle:1,Sweet Scent:1,Absorb:5,Growth:7,Razor Leaf:10,Helping Hand:13,Flail:16,Mega Drain:20,Grassy Terrain:23,Seed Bomb:27,Energy Ball:30,Earth Power:34,Leech Seed:44,Terrain Pulse:46,Petal Dance:50,Encore:54	3:Seed Bomb,5:Toxic,8:Bullet Seed,9:Hidden Power,15:Light Screen,16:Protect,18:Giga Drain,19:Hyper Voice,21:Weather Ball,26:Return,32:Reflect,41:Facade,43:Rest,44:Drain Kiss,52:Energy Ball,53:Grassy Glide,75:Earth Power,81:Sleep Talk,85:Grass Knot,101:Dazzling Gleam	74:Substitute,81:Alluring Voice,99:Sunny Day,101:Solar Beam,114:Trailblaze	Memento,Strength Sap,Synthesis,Weather Ball	Grass,Grass	NONE	NONE	0	Brock	UNK	via-evolution	FALSE	NA	FALSE	FALSE	FALSE	data.js:species[1326]	Measured	derived: bst, evo_stage, earliest_gate, earliest_level, flags
951	1327	Capsakid	NONE	base	1327	1	Capsakid	1327	NONE	Scovillain	7	with a items[95].name95 !== 101 ? '' : evo[3] === 254 ? ' (Female)' : ' (Male)'	95	Fire Stone	UNK	Grass	NONE	52	62	40	62	40	50	306	NONE	Chlorophyll	Insomnia	Leafage:1,Leer:1,Bite:1,Growth:1,Razor Leaf:7,Sunny Day:11,Mega Drain:15,Headbutt:18,Zen Headbutt:22,Crunch:28,Seed Bomb:35,Solar Beam:38	3:Seed Bomb,5:Toxic,7:Zen Headbutt,8:Bullet Seed,9:Hidden Power,11:Taunt,16:Protect,18:Giga Drain,26:Return,41:Facade,43:Rest,45:Thief,52:Energy Ball,53:Grassy Glide,68:Stomping Tantrum,81:Sleep Talk,85:Grass Knot	74:Substitute,99:Sunny Day,101:Solar Beam,109:Sandstorm,114:Trailblaze,127:Solar Blade	Ingrain,Leech Seed,Rage Powder,Rollout,Worry Seed	Grass,Grass	NONE	Route 21 North:wild-day:0:4-6:10|Route 21 North:wild-day:0:4-6:11|Route 3:raid1:1:NA:NA	0	Brock	4	direct	FALSE	NA	TRUE	FALSE	FALSE	data.js:species[1327]	Measured	derived: bst, evo_stage, earliest_gate, earliest_level, flags
952	1328	Scovillain	NONE	base	1327	2	Scovillain	1328	Capsakid	NONE	NONE	NONE	NONE	NONE	NA	Grass	Fire	85	78	65	118	65	75	486	NONE	Chlorophyll	Insomnia	Flamethrower:0,Leafage:1,Fire Fang:1,Flamethrower:1,Leer:1,Bite:1,Growth:1,Razor Leaf:7,Sunny Day:11,Mega Drain:15,Headbutt:18,Zen Headbutt:22,Crunch:28,Seed Bomb:35,Solar Beam:38,Overheat:48	3:Seed Bomb,5:Toxic,6:Heat Wave,7:Zen Headbutt,8:Bullet Seed,9:Hidden Power,11:Taunt,16:Protect,18:Giga Drain,21:Weather Ball,26:Return,34:Flamethrower,37:Fire Blast,41:Facade,42:Defog,43:Rest,45:Thief,49:Overheat,52:Energy Ball,53:Grassy Glide,56:Temper Flare,60:Will-O-Wisp,68:Stomping Tantrum,81:Sleep Talk,85:Grass Knot,109:Scorching Sands	2:Flame Charge,74:Substitute,76:Nasty Plot,90:Fire Fang,99:Sunny Day,101:Solar Beam,109:Sandstorm,112:Mystical Fire,114:Trailblaze,127:Solar Blade	Ingrain,Leech Seed,Rage Powder,Rollout,Worry Seed	Grass,Grass	NONE	NONE	0	Brock	UNK	via-evolution	FALSE	NA	FALSE	FALSE	FALSE	data.js:species[1328]	Measured	derived: bst, evo_stage, earliest_gate, earliest_level, flags
968	1329	Orthworm	NONE	base	1329	1	Orthworm	1329	NONE	NONE	NONE	NONE	NONE	NONE	NA	Steel	NONE	70	85	145	60	55	65	480	Sand Veil	Earth Eater	NONE	Harden:1,Tackle:1,Wrap:1,Mud-Slap:7,Smack Down:12,Bulldoze:16,Iron Head:21,Take Down:26,Dig:30,Sandstorm:34,Iron Defense:38,Iron Tail:43,Earthquake:47,Shed Tail:52,Heavy Slam:56	5:Toxic,9:Hidden Power,16:Protect,22:Iron Head,25:Earthquake,26:Return,27:Dig,30:Brick Break,36:High Horsepower,38:Rock Tomb,41:Facade,43:Rest,61:Iron Tail,65:Steel Beam,68:Stomping Tantrum,75:Earth Power,79:Rock Slide,81:Sleep Talk,92:Dragon Tail,95:Bulldoze,108:Superpower,114:Body Press,123:Strength,125:Rock Smash	1:Power-Up Punch,20:Iron Defense,47:Stealth Rock,72:Spikes,74:Substitute,87:Rock Blast,91:Body Slam,109:Sandstorm	Coil,Curse,Metal Burst	Field,Field	NONE	Rock Tunnel B1F:raid1:3:NA:NA|Route 16:wild-day:3:36-38:8|Route 16:wild-day:3:36-38:9|Route 16:wild-night:3:36-38:8|Route 16:wild-night:3:36-38:9	3	Surge	36	direct	FALSE	NA	TRUE	FALSE	FALSE	data.js:species[1329]	Measured	derived: bst, evo_stage, earliest_gate, earliest_level, flags
924	1330	Tandemaus	NONE	base	1330	1	Tandemaus	1330	NONE	Maushold	4	at Level 25	25	NA	NA	Normal	NONE	50	50	45	40	45	75	305	Own Tempo	Run Away	Pickup	Baby-Doll Eyes:1,Pound:1,Echoed Voice:5,Helping Hand:8,Super Fang:11,Double Hit:14,Bullet Seed:18,Encore:22,Play Rough:26,Hyper Voice:30,Charm:33,Copycat:41,Population Bomb:46,Beat Up:58,Tidy Up:69	3:Seed Bomb,5:Toxic,8:Bullet Seed,9:Hidden Power,11:Taunt,16:Protect,19:Hyper Voice,26:Return,27:Dig,39:Low Kick,41:Facade,43:Rest,45:Thief,64:Shadow Claw,72:Thunder Wave,74:Knock Off,77:Low Sweep,81:Sleep Talk,85:Grass Knot,86:Aerial Ace,88:U-turn,105:Acrobatics,112:Play Rough	74:Substitute,99:Sunny Day,123:Rain Dance	After You,Bite,Feint,Switcheroo,Tickle	Field,Fairy	NONE	Route 3:raid1:1:NA:NA|Route 4:wild-day:1:13-15:5|Route 4:wild-night:1:13-15:5	1	Archer-1	13	direct	FALSE	NA	TRUE	FALSE	FALSE	data.js:species[1330]	Measured	derived: bst, evo_stage, earliest_gate, earliest_level, flags
925	1331	Maushold	NONE	base	1330	2	Maushold	1331	Tandemaus	NONE	NONE	NONE	NONE	NONE	NA	Normal	NONE	74	75	70	65	75	111	470	Technician	Friend Guard	Cheek Pouch	Baby-Doll Eyes:1,Pound:1,Echoed Voice:5,Helping Hand:8,Super Fang:11,Double Hit:14,Bullet Seed:18,Encore:22,Play Rough:28,Hyper Voice:33,Charm:36,Copycat:46,Population Bomb:53,Beat Up:60,Tidy Up:70	3:Seed Bomb,5:Toxic,8:Bullet Seed,9:Hidden Power,11:Taunt,16:Protect,19:Hyper Voice,26:Return,27:Dig,39:Low Kick,41:Facade,43:Rest,45:Thief,64:Shadow Claw,72:Thunder Wave,74:Knock Off,77:Low Sweep,81:Sleep Talk,85:Grass Knot,86:Aerial Ace,88:U-turn,105:Acrobatics,112:Play Rough	74:Substitute,99:Sunny Day,114:Trailblaze,123:Rain Dance	After You,Bite,Feint,Switcheroo,Tickle	Field,Fairy	NONE	NONE	1	Archer-1	UNK	via-evolution	FALSE	NA	FALSE	FALSE	FALSE	data.js:species[1331]	Measured	derived: bst, evo_stage, earliest_gate, earliest_level, flags
974	1332	Cetoddle	NONE	base	1332	1	Cetoddle	1332	NONE	Cetitan	7	with a items[102].name102 !== 101 ? '' : evo[3] === 254 ? ' (Female)' : ' (Male)'	102	Ice Stone	UNK	Ice	NONE	108	68	45	30	40	43	334	Sheer Force	Thick Fat	Slush Rush	Powder Snow:1,Tackle:1,Growl:1,Echoed Voice:5,Ice Shard:10,Rest:15,Take Down:20,Flail:22,Avalanche:26,Bounce:30,Body Slam:35,Amnesia:39,Ice Spinner:43,Double-Edge:47,Blizzard:49	5:Toxic,9:Hidden Power,12:Ice Beam,13:Blizzard,16:Protect,19:Hyper Voice,20:Icy Wind,25:Earthquake,26:Return,40:Liquidation,41:Facade,43:Rest,68:Stomping Tantrum,81:Sleep Talk,95:Bulldoze,96:Frost Breath,108:Superpower,112:Play Rough,114:Body Press,119:Ice Spinner,123:Strength,125:Rock Smash	20:Iron Defense,47:Stealth Rock,50:Snowscape,74:Substitute,89:Ice Fang,91:Body Slam,123:Rain Dance	Belly Drum,Entrainment,Icicle Crash,Superpower,Yawn	Field,Field	NONE	Mt. Moon 1F:raid1:1:NA:NA|Rock Tunnel B1F:wild-day:3:30-32:6|Rock Tunnel B1F:wild-day:3:30-32:7|Rock Tunnel B1F:wild-night:3:30-32:6|Rock Tunnel B1F:wild-night:3:30-32:7	1	Archer-1	NA	direct	FALSE	NA	TRUE	FALSE	FALSE	data.js:species[1332]	Measured	derived: bst, evo_stage, earliest_gate, earliest_level, flags
975	1333	Cetitan	NONE	base	1332	2	Cetitan	1333	Cetoddle	NONE	NONE	NONE	NONE	NONE	NA	Ice	NONE	170	113	65	45	55	73	521	Sheer Force	Thick Fat	Slush Rush	Powder Snow:1,Tackle:1,Growl:1,Echoed Voice:5,Ice Shard:10,Rest:15,Take Down:20,Flail:22,Avalanche:26,Bounce:30,Body Slam:35,Amnesia:39,Ice Spinner:43,Double-Edge:47,Blizzard:49	5:Toxic,9:Hidden Power,12:Ice Beam,13:Blizzard,16:Protect,19:Hyper Voice,20:Icy Wind,25:Earthquake,26:Return,36:High Horsepower,40:Liquidation,41:Facade,43:Rest,68:Stomping Tantrum,74:Knock Off,81:Sleep Talk,95:Bulldoze,96:Frost Breath,100:Ice Punch,108:Superpower,112:Play Rough,114:Body Press,119:Ice Spinner,123:Strength,125:Rock Smash	20:Iron Defense,47:Stealth Rock,50:Snowscape,74:Substitute,89:Ice Fang,91:Body Slam,123:Rain Dance	Belly Drum,Entrainment,Icicle Crash,Superpower,Yawn	Field,Field	NONE	Route 12:wild-day:9:50-52:5|Route 12:wild-night:9:50-52:5	1	Archer-1	NA	via-evolution	FALSE	NA	TRUE	FALSE	FALSE	data.js:species[1333]	Measured	derived: bst, evo_stage, earliest_gate, earliest_level, flags
978	1334	Tatsugiri	NONE	base	1334	1	Tatsugiri	1334	NONE	NONE	NONE	NONE	NONE	NONE	NA	Dragon	Water	78	50	70	120	95	82	495	NONE	Storm Drain	NONE	Water Gun:1,Dragon Breath:1,Splash:1,Harden:6,Helping Hand:12,Water Pulse:17,Soak:23,Taunt:28,Memento:34,Muddy Water:36,Nasty Plot:43,Mirror Coat:47,Dragon Pulse:52	2:Flip Turn,5:Toxic,9:Hidden Power,11:Taunt,16:Protect,17:Hydro Pump,20:Icy Wind,26:Return,41:Facade,43:Rest,58:Dragon Pulse,71:Draco Barrage,81:Sleep Talk,82:Scald,118:Draco Meteor,122:Surf,126:Waterfall	39:Dragon Dance,74:Substitute,76:Nasty Plot,123:Rain Dance	Counter,Rapid Spin	Water2,Water2	NONE	Route 4:raid1:1:NA:NA|Cerulean City:wild-goodRod:3:27-29:1|Route 13:wild-oldRod:9:2-4:1|Safari Zone Area 3:wild-superRod:9:53-55:2	1	Archer-1	NA	direct	FALSE	NA	TRUE	FALSE	FALSE	data.js:species[1334]	Measured	derived: bst, evo_stage, earliest_gate, earliest_level, flags
940	1335	Wattrel	NONE	base	1335	1	Wattrel	1335	NONE	Kilowattrel	4	at Level 25	25	NA	NA	Flying	Electric	40	40	35	55	40	70	280	Competitive	Static	Volt Absorb	Thunder Shock:1,Peck:1,Growl:4,Quick Attack:7,Pluck:11,Spark:15,Uproar:19,Roost:23,Air Cutter:27,Agility:32,Volt Switch:36,Discharge:43	5:Toxic,6:Heat Wave,9:Hidden Power,14:Electroweb,16:Protect,21:Weather Ball,23:Thunderbolt,24:Thunder,26:Return,41:Facade,42:Defog,43:Rest,46:Steel Wing,47:Hurricane,50:Roost,55:Air Slash,57:Rising Voltage,72:Thunder Wave,81:Sleep Talk,86:Aerial Ace,87:Pluck,88:U-turn,91:Volt Switch,98:Wild Charge,99:Dual Wingbeat,105:Acrobatics,116:Brave Bird,121:Fly,124:Flash	7:Uproar,11:Charge Beam,28:Tailwind,74:Substitute	Endeavor,Feather Dance,Weather Ball,Spit Up,Stockpile,Swallow	Water1,Flying	NONE	Viridian City:wild-night:0:3-5:8|Viridian City:wild-night:0:3-5:9	0	Brock	3	direct	FALSE	NA	TRUE	FALSE	FALSE	data.js:species[1335]	Measured	derived: bst, evo_stage, earliest_gate, earliest_level, flags
941	1336	Kilowattrel	NONE	base	1335	2	Kilowattrel	1336	Wattrel	NONE	NONE	NONE	NONE	NONE	NA	Flying	Electric	70	70	60	105	60	125	490	Competitive	Static	Volt Absorb	Air Slash:0,Air Slash:1,Electro Ball:1,Thunder Shock:1,Peck:1,Growl:4,Quick Attack:7,Pluck:11,Spark:15,Uproar:19,Roost:23,Air Cutter:27,Agility:32,Volt Switch:38,Discharge:46,Hurricane:54	5:Toxic,6:Heat Wave,9:Hidden Power,10:Soupercell Slam,14:Electroweb,16:Protect,21:Weather Ball,23:Thunderbolt,24:Thunder,26:Return,41:Facade,42:Defog,43:Rest,46:Steel Wing,47:Hurricane,50:Roost,55:Air Slash,57:Rising Voltage,72:Thunder Wave,81:Sleep Talk,86:Aerial Ace,87:Pluck,88:U-turn,91:Volt Switch,98:Wild Charge,99:Dual Wingbeat,105:Acrobatics,116:Brave Bird,121:Fly,124:Flash	7:Uproar,11:Charge Beam,28:Tailwind,74:Substitute	Endeavor,Feather Dance,Weather Ball,Spit Up,Stockpile,Swallow	Water1,Flying	NONE	NONE	0	Brock	UNK	via-evolution	FALSE	NA	FALSE	FALSE	FALSE	data.js:species[1336]	Measured	derived: bst, evo_stage, earliest_gate, earliest_level, flags
962	1337	Bombirdier	NONE	base	1337	1	Bombirdier	1337	NONE	NONE	NONE	NONE	NONE	NONE	NA	Flying	Dark	85	103	85	60	85	82	500	NONE	Rocky Payload	NONE	Leer:1,Memento:1,Payback:1,Wing Attack:1,Thief:7,Rock Throw:11,Whirlwind:16,Pluck:20,Torment:24,Rock Tomb:28,Sucker Punch:34,Dual Wingbeat:40,Rock Slide:44,Knock Off:47,Parting Shot:50	3:Seed Bomb,5:Toxic,6:Heat Wave,9:Hidden Power,11:Taunt,16:Protect,19:Hyper Voice,20:Icy Wind,26:Return,38:Rock Tomb,41:Facade,42:Defog,43:Rest,45:Thief,47:Hurricane,50:Roost,55:Air Slash,70:Stone Edge,74:Knock Off,78:Dark Pulse,79:Rock Slide,81:Sleep Talk,86:Aerial Ace,87:Pluck,88:U-turn,99:Dual Wingbeat,105:Acrobatics,107:Snarl,116:Brave Bird,121:Fly	8:Dark Hole,28:Tailwind,35:Drill Run,41:Foul Play,47:Stealth Rock,74:Substitute,76:Nasty Plot,87:Rock Blast,99:Sunny Day,102:Hone Claws,109:Sandstorm,123:Rain Dance	Feather Dance,Power Trip,Roost,Sky Attack,Sucker Punch	Flying,Flying	NONE	Route 11:wild-night:2:23-25:8|Route 11:wild-night:2:23-25:9	2	Misty	23	direct	FALSE	NA	TRUE	FALSE	FALSE	data.js:species[1337]	Measured	derived: bst, evo_stage, earliest_gate, earliest_level, flags
931	1338	Squawkabilly	NONE	base	1338	1	Squawkabilly	1338	NONE	NONE	NONE	NONE	NONE	NONE	NA	Normal	Flying	82	96	51	45	51	92	417	Guts	Intimidate	Hustle	Growl:1,Peck:1,Mimic:1,Quick Attack:6,Torment:10,Aerial Ace:13,Fury Attack:17,Taunt:20,Uproar:24,Copycat:27,Fly:30,Facade:34,Swagger:38,Brave Bird:42,Roost:47,Reversal:52	5:Toxic,6:Heat Wave,9:Hidden Power,11:Taunt,16:Protect,19:Hyper Voice,26:Return,41:Facade,42:Defog,43:Rest,45:Thief,47:Hurricane,50:Roost,55:Air Slash,81:Sleep Talk,86:Aerial Ace,87:Pluck,88:U-turn,99:Dual Wingbeat,105:Acrobatics,116:Brave Bird,121:Fly	7:Uproar,28:Tailwind,41:Foul Play,74:Substitute,99:Sunny Day	Double-Edge,Final Gambit,Flatter,Parting Shot	Flying,Flying	NONE	Route 6:raid1:2:NA:NA|Route 25:wild-day:2:16-18:8	2	Misty	16	direct	FALSE	NA	TRUE	FALSE	FALSE	data.js:species[1338]	Measured	derived: bst, evo_stage, earliest_gate, earliest_level, flags
973	1339	Flamigo	NONE	base	1339	1	Flamigo	1339	NONE	NONE	NONE	NONE	NONE	NONE	NA	Flying	Fighting	92	115	74	75	74	90	520	NONE	Scrappy	NONE	Copycat:1,Peck:1,Double Kick:5,Detect:9,Wing Attack:12,Focus Energy:15,Low Kick:18,Feint:21,Payback:25,Roost:29,Lunge:33,Jump Kick:35,Mega Kick:39,Wide Guard:44,Throat Chop:44,Brave Bird:47	0:Close Combat,5:Toxic,9:Hidden Power,11:Taunt,16:Protect,26:Return,39:Low Kick,40:Liquidation,41:Facade,42:Defog,43:Rest,45:Thief,47:Hurricane,50:Roost,55:Air Slash,69:Triple Axel,77:Low Sweep,81:Sleep Talk,86:Aerial Ace,87:Pluck,88:U-turn,99:Dual Wingbeat,105:Acrobatics,116:Brave Bird,121:Fly	28:Tailwind,31:Bulk Up,53:Swords Dance,74:Substitute,104:Blaze Kick	Quick Guard,Sky Attack	Flying,Flying	NONE	Route 5:raid1:2:NA:NA|Route 11:wild-day:2:23-25:8|Route 11:wild-day:2:23-25:9	2	Misty	23	direct	FALSE	NA	TRUE	FALSE	FALSE	data.js:species[1339]	Measured	derived: bst, evo_stage, earliest_gate, earliest_level, flags
932	1340	Nacli	NONE	base	1340	1	Nacli	1340	NONE	Naclstack	4	at Level 23	23	NA	NA	Rock	NONE	55	55	75	35	35	25	280	Clear Body	Sturdy	Purifying Salt	Tackle:1,Harden:1,Rock Throw:5,Smack Down:10,Rock Polish:13,Headbutt:16,Iron Defense:20,Recover:25,Rock Slide:30,Stealth Rock:33,Heavy Slam:35,Earthquake:40,Stone Edge:45	5:Toxic,7:Zen Headbutt,9:Hidden Power,16:Protect,22:Iron Head,25:Earthquake,26:Return,27:Dig,41:Facade,43:Rest,68:Stomping Tantrum,70:Stone Edge,75:Earth Power,79:Rock Slide,81:Sleep Talk,90:Flash Cannon,95:Bulldoze	20:Iron Defense,46:Rock Polish,47:Stealth Rock,74:Substitute,91:Body Slam,99:Sunny Day,109:Sandstorm,116:Power Gem,123:Rain Dance	Ancient Power,Curse,Power Gem	Mineral,Mineral	NONE	Diglett's Cave 1F:wild-day:0:7-9:1|Diglett's Cave 1F:wild-night:0:7-9:1|Mt. Moon B1F:wild-day:1:12-14:1|Mt. Moon B1F:wild-night:1:12-14:1	0	Brock	7	direct	FALSE	NA	TRUE	FALSE	FALSE	data.js:species[1340]	Measured	derived: bst, evo_stage, earliest_gate, earliest_level, flags
933	1341	Naclstack	NONE	base	1340	2	Naclstack	1341	Nacli	Garganacl	4	at Level 38	38	NA	NA	Rock	NONE	60	60	100	35	65	35	355	Clear Body	Sturdy	Purifying Salt	Salt Cure:0,Salt Cure:1,Tackle:1,Harden:1,Rock Throw:5,Smack Down:10,Rock Polish:13,Headbutt:16,Iron Defense:20,Recover:28,Rock Slide:33,Stealth Rock:36,Heavy Slam:39,Earthquake:45,Stone Edge:48	5:Toxic,7:Zen Headbutt,9:Hidden Power,16:Protect,22:Iron Head,25:Earthquake,26:Return,27:Dig,41:Facade,43:Rest,68:Stomping Tantrum,70:Stone Edge,75:Earth Power,79:Rock Slide,81:Sleep Talk,90:Flash Cannon,95:Bulldoze,114:Body Press	20:Iron Defense,46:Rock Polish,47:Stealth Rock,74:Substitute,91:Body Slam,99:Sunny Day,109:Sandstorm,116:Power Gem,123:Rain Dance	Ancient Power,Curse,Power Gem	Mineral,Mineral	Everstone,Hard Stone	NONE	0	Brock	UNK	via-evolution	FALSE	NA	FALSE	FALSE	FALSE	data.js:species[1341]	Measured	derived: bst, evo_stage, earliest_gate, earliest_level, flags
934	1342	Garganacl	NONE	base	1340	3	Garganacl	1342	Naclstack	NONE	NONE	NONE	NONE	NONE	NA	Rock	NONE	100	100	130	45	90	35	500	Clear Body	Sturdy	Purifying Salt	Hammer Arm:0,Block:1,Wide Guard:1,Hammer Arm:1,Salt Cure:1,Tackle:1,Harden:1,Rock Throw:5,Smack Down:10,Rock Polish:13,Headbutt:16,Iron Defense:20,Recover:28,Rock Slide:33,Stealth Rock:36,Heavy Slam:43,Earthquake:49,Stone Edge:54,Explosion:58	5:Toxic,7:Zen Headbutt,9:Hidden Power,16:Protect,22:Iron Head,25:Earthquake,26:Return,27:Dig,30:Brick Break,41:Facade,43:Rest,63:Explosion,68:Stomping Tantrum,70:Stone Edge,75:Earth Power,76:Thunder Punch,79:Rock Slide,81:Sleep Talk,90:Flash Cannon,95:Bulldoze,97:Fire Punch,100:Ice Punch,114:Body Press	20:Iron Defense,46:Rock Polish,47:Stealth Rock,74:Substitute,87:Rock Blast,91:Body Slam,99:Sunny Day,109:Sandstorm,116:Power Gem,123:Rain Dance	Ancient Power,Curse,Power Gem	Mineral,Mineral	Everstone,Hard Stone	NONE	0	Brock	UNK	via-evolution	FALSE	NA	FALSE	FALSE	FALSE	data.js:species[1342]	Measured	derived: bst, evo_stage, earliest_gate, earliest_level, flags
969	1343	Glimmet	NONE	base	1343	1	Glimmet	1343	NONE	Glimmora	4	at Level 35	35	NA	NA	Poison	Rock	48	35	42	105	60	60	350	Corrosion	Toxic Debris	NONE	Rock Throw:1,Harden:1,Smack Down:1,Acid Spray:7,Ancient Power:11,Rock Polish:15,Stealth Rock:18,Venoshock:22,Sandstorm:26,Self-Destruct:29,Rock Slide:33,Power Gem:37,Acid Armor:41,Sludge Wave:46	5:Toxic,9:Hidden Power,15:Light Screen,16:Protect,26:Return,32:Reflect,35:Sludge Bomb,38:Rock Tomb,41:Facade,43:Rest,62:Venoshock,63:Explosion,70:Stone Edge,79:Rock Slide,81:Sleep Talk,89:Gunk Shot,101:Dazzling Gleam,102:Sludge Wave	20:Iron Defense,46:Rock Polish,47:Stealth Rock,72:Spikes,73:Toxic Spikes,74:Substitute,87:Rock Blast,99:Sunny Day,109:Sandstorm,116:Power Gem,123:Rain Dance	Explosion,Memento,Toxic	Mineral,Mineral	NONE	Rock Tunnel B1F:wild-day:3:30-32:10|Rock Tunnel B1F:wild-day:3:30-32:11|Rock Tunnel B1F:wild-night:3:30-32:10|Rock Tunnel B1F:wild-night:3:30-32:11	3	Surge	30	direct	FALSE	NA	TRUE	FALSE	FALSE	data.js:species[1343]	Measured	derived: bst, evo_stage, earliest_gate, earliest_level, flags
970	1344	Glimmora	NONE	base	1343	2	Glimmora	1344	Glimmet	NONE	NONE	NONE	NONE	NONE	NA	Poison	Rock	83	55	90	130	81	86	525	Corrosion	Toxic Debris	NONE	Mortal Spin:0,Spiky Shield:1,Toxic Spikes:1,Mortal Spin:1,Rock Throw:1,Harden:1,Smack Down:1,Acid Spray:7,Ancient Power:11,Rock Polish:15,Stealth Rock:18,Venoshock:22,Sandstorm:26,Self-Destruct:29,Rock Slide:33,Power Gem:39,Acid Armor:44,Sludge Wave:50	5:Toxic,9:Hidden Power,15:Light Screen,16:Protect,26:Return,32:Reflect,35:Sludge Bomb,38:Rock Tomb,41:Facade,43:Rest,52:Energy Ball,62:Venoshock,63:Explosion,70:Stone Edge,75:Earth Power,79:Rock Slide,81:Sleep Talk,89:Gunk Shot,90:Flash Cannon,101:Dazzling Gleam,102:Sludge Wave	20:Iron Defense,46:Rock Polish,47:Stealth Rock,72:Spikes,73:Toxic Spikes,74:Substitute,87:Rock Blast,99:Sunny Day,101:Solar Beam,109:Sandstorm,116:Power Gem,122:Meteor Beam,123:Rain Dance	Explosion,Memento,Toxic	Mineral,Mineral	NONE	NONE	3	Surge	UNK	via-evolution	FALSE	NA	FALSE	FALSE	FALSE	data.js:species[1344]	Measured	derived: bst, evo_stage, earliest_gate, earliest_level, flags
